list_name,name,label,label::Arabic,Governorate,District,Sub_district,
,,,,,,,
gender,Male,Male,???,,,,
gender,Female,Female,????,,,,
,,,,,,,
Governorate,SY01,Damascus,????? ????,,,,
Governorate,SY02,Aleppo,???,,,,
Governorate,SY03,Rural Damascus,??? ????,,,,
Governorate,SY04,Homs,???,,,,
Governorate,SY05,Hama,????,,,,
Governorate,SY06,Lattakia,????????,,,,
Governorate,SY07,Idleb,????,,,,
Governorate,SY08,Al-Hasakeh,??????,,,,
Governorate,SY09,Deir-ez-Zor,??? ?????,,,,
Governorate,SY10,Tartous,?????,,,,
Governorate,SY11,Ar-Raqqa,?????,,,,
Governorate,SY12,Dar'a,????,,,,
Governorate,SY13,As-Sweida,????????,,,,
Governorate,SY14,Quneitra,????????,,,,
,,,,,,,
yes_no_ns,Yes,Yes,???,,,,
yes_no_ns,No,No,??,,,,
yes_no_ns,Not_sure,Not sure,??? ?????,,,,
,,,,,,,
yes_no,Yes,Yes,???,,,,
yes_no,No,No,??,,,,
,,,,,,,
yes_no_dt,Yes,Yes,???,,,,
yes_no_dt,No,No,??,,,,
yes_no_dt,Dont_Know,Don't Know,?? ???? ,,,,
,,,,,,,
,,,,,,,
q0010R,Camp_IDPS_live_in_tents_or_makeshift_structures,Camp (IDPS live in tents or makeshift structures),???? (?????? ?????? ?? ??? ?? ????? ?????),,,,
q0010R,Collective_centre_IDPs_live_in_a_buildings,Collective centre (IDPs live in (a) building(s),???? ????? (?????? ?????? ?? ???? (?????)),,,,
q0010R,Other,Other,??? ??? (???) ,,,,
,,,,,,,
q0011R,Formal_site,Formal site,???? ????,,,,
q0011R,Informal_site,Informal site,???? ??? ????,,,,
q0011R,Other,Other,??? ??? (???) ,,,,
q0011R,Dont_know,Don't know,?? ???? ,,,,
,,,,,,,
q010201R,Dont_have_time,Don't have time,??? ??? ?????,,,,
q010201R,Dont_want_to_contribute_to_the_purpose_of_the_survey,Don't want to contribute to the purpose of the survey,?????? ???????? ?? ?????????,,,,
q010201R,Dont_understand_the_purpose_of_the_survey,Don't understand the purpose of the survey,?? ???? ????? ?? ?????????,,,,
q010201R,Other,Other,??? ??? (???) ,,,,
,,,,,,,
q0106R,Difficulty_seeing_even_when_wearing_glasses,"Difficulty seeing, even when wearing glasses","????? ?? ??????? ??? ??? ?????? ????????",,,,
q0106R,Difficulty_hearing_even_if_using_a_hearing_aid,"Difficulty hearing, even if using a hearing aid","????? ?? ?????? ??? ??? ??????? ???? ?????? ?????",,,,
q0106R,Difficulty_walking_or_climbing_steps,Difficulty walking or climbing steps,????? ?? ????? ?? ???????,,,,
q0106R,"Difficulty_communicating,_for_example_understanding_or_being_understood_In_your_first_language","Difficulty communicating, for example understanding or being understood (In your first language)","????? ?? ???????? ??? ???? ?????? ????? ?? ?? ????? (????? ??????)",,,,
q0106R,Difficulty_remembering_or_concentrating,Difficulty remembering or concentrating,????? ?? ?????? ?? ???????,,,,
q0106R,Difficulty_with_self_care_such_as_washing_all_over_or_dressing,"Difficulty with self care, such as washing all over or dressing","????? ?? ??????? ???????? ??? ?????? ??????? ?? ?????? ???????",,,,
q0106R,No_HH_members_experienced_difficulties,No HH members experienced difficulties,?? ??? ?? ????? ?????? ????? ??? ??????,,,,
,,,,,,,
q0108R,Wife_husband,Wife/husband,????/ ???,,,,
q0108R,Daughter_son,Daughter/son,????/ ???,,,,
q0108R,Mother_father,Mother/father,?? / ??,,,,
q0108R,Mother_father_in_law,Mother/father in law,??????/ ?????,,,,
q0108R,Other_non_family,Other non-family,???? ?? ??? ???????,,,,
